timestamp,queue,dominant_emotion,neg_count,flagged,recommendation
2026-05-17 22:43:51,Queue 2,Neutral,0,False,All Good
2026-05-17 22:43:51,Queue 3,Neutral,0,False,All Good
2026-05-17 22:44:04,Counter,Neutral,0,False,All Good
2026-05-17 22:44:04,Queue 1,Sad,19,False,All Good
2026-05-17 22:44:04,Queue 2,Neutral,0,False,All Good
2026-05-17 22:44:04,Queue 3,Neutral,0,False,All Good
2026-05-17 22:44:16,Counter,Neutral,0,False,All Good
2026-05-17 22:44:16,Queue 1,Sad,36,False,All Good
2026-05-17 22:44:16,Queue 2,Neutral,0,False,All Good
2026-05-17 22:44:16,Queue 3,Neutral,0,False,All Good
2026-05-17 22:44:29,Counter,Neutral,0,False,All Good
2026-05-17 22:44:29,Queue 1,Sad,27,True,Service Quality Check Required
2026-05-17 22:44:29,Queue 2,Neutral,0,False,All Good
2026-05-17 22:44:29,Queue 3,Neutral,0,False,All Good
2026-05-17 22:44:42,Counter,Neutral,0,False,All Good
2026-05-17 22:44:42,Queue 1,Happy,0,False,All Good
2026-05-17 22:44:42,Queue 2,Neutral,0,False,All Good
2026-05-17 22:44:42,Queue 3,Neutral,0,False,All Good
2026-05-17 22:44:56,Counter,Neutral,0,False,All Good
2026-05-17 22:44:56,Queue 1,Happy,5,False,All Good
2026-05-17 22:44:56,Queue 2,Neutral,0,False,All Good
2026-05-17 22:44:56,Queue 3,Neutral,0,False,All Good
2026-05-17 22:45:09,Counter,Neutral,0,False,All Good
2026-05-17 22:45:09,Queue 1,Angry,3,False,All Good
2026-05-17 22:45:09,Queue 2,Neutral,0,False,All Good
2026-05-17 22:45:09,Queue 3,Neutral,0,False,All Good
2026-05-17 22:45:21,Counter,Happy,0,False,All Good
2026-05-17 22:45:21,Queue 1,Neutral,0,False,All Good
2026-05-17 22:45:21,Queue 2,Neutral,0,False,All Good
2026-05-17 22:45:21,Queue 3,Neutral,0,False,All Good
2026-05-17 22:45:35,Counter,Happy,1,False,All Good
2026-05-17 22:45:35,Queue 1,Neutral,0,False,All Good
2026-05-17 22:45:35,Queue 2,Neutral,0,False,All Good
2026-05-17 22:45:35,Queue 3,Neutral,0,False,All Good
2026-05-17 22:45:47,Counter,Happy,0,False,All Good
2026-05-17 22:45:47,Queue 1,Neutral,0,False,All Good
2026-05-17 22:45:47,Queue 2,Neutral,0,False,All Good
2026-05-17 22:45:47,Queue 3,Neutral,0,False,All Good
2026-05-17 22:46:00,Counter,Happy,1,False,All Good
2026-05-17 22:46:00,Queue 1,Neutral,0,False,All Good
2026-05-17 22:46:00,Queue 2,Neutral,0,False,All Good
2026-05-17 22:46:00,Queue 3,Neutral,0,False,All Good
2026-05-17 22:46:13,Counter,Happy,0,False,All Good
2026-05-17 22:46:13,Queue 1,Neutral,0,False,All Good
2026-05-17 22:46:13,Queue 2,Neutral,0,False,All Good
2026-05-17 22:46:13,Queue 3,Neutral,0,False,All Good
2026-05-17 22:46:25,Counter,Angry,18,False,All Good
2026-05-17 22:46:25,Queue 1,Neutral,0,False,All Good
2026-05-17 22:46:25,Queue 2,Neutral,0,False,All Good
2026-05-17 22:46:25,Queue 3,Neutral,0,False,All Good
2026-05-17 22:46:37,Counter,Angry,15,False,All Good
2026-05-17 22:46:37,Queue 1,Neutral,0,False,All Good
2026-05-17 22:46:37,Queue 2,Neutral,0,False,All Good
2026-05-17 22:46:37,Queue 3,Neutral,0,False,All Good
2026-05-17 22:46:50,Counter,Neutral,10,False,All Good
